Time,root.CNNP.QF.1#.QF1RCP604MP.numvalue
2019-04-20T19:13:33.000+08:00,4.885
2019-04-20T19:14:29.000+08:00,4.898
2019-04-20T19:15:36.000+08:00,4.888
2019-04-20T19:17:34.000+08:00,4.899
2019-04-20T19:17:48.000+08:00,4.887
2019-04-20T19:24:07.000+08:00,4.899
2019-04-20T19:27:07.000+08:00,4.901
2019-04-20T19:33:36.000+08:00,4.909
2019-04-20T19:33:45.000+08:00,4.899
2019-04-20T19:35:43.000+08:00,4.91
2019-04-20T19:36:11.000+08:00,4.911
2019-04-20T19:36:41.000+08:00,4.901
2019-04-20T19:38:28.000+08:00,4.912
2019-04-20T19:40:47.000+08:00,4.901
2019-04-20T19:42:48.000+08:00,4.911
2019-04-20T19:43:13.000+08:00,4.901
2019-04-20T19:54:38.000+08:00,4.911
2019-04-20T19:54:54.000+08:00,4.912
2019-04-20T19:55:12.000+08:00,4.902
2019-04-20T19:55:15.000+08:00,4.901
2019-04-20T20:28:31.000+08:00,4.912
2019-04-20T20:28:34.000+08:00,4.902
2019-04-20T20:29:00.000+08:00,4.912
2019-04-20T20:29:35.000+08:00,4.901
2019-04-20T20:36:49.000+08:00,4.911
2019-04-20T20:39:02.000+08:00,4.914
2019-04-20T20:39:38.000+08:00,4.903
2019-04-20T20:40:10.000+08:00,4.901
2019-04-20T20:46:12.000+08:00,4.912
2019-04-20T20:47:20.000+08:00,4.902
2019-04-20T21:15:59.000+08:00,4.893
2019-04-20T21:16:15.000+08:00,4.903
2019-04-20T21:26:50.000+08:00,4.892
2019-04-20T21:29:34.000+08:00,4.903
2019-04-20T21:29:45.000+08:00,4.892
2019-04-20T21:31:03.000+08:00,4.891
2019-04-20T21:31:38.000+08:00,4.902
2019-04-20T21:34:04.000+08:00,4.893
2019-04-20T21:34:50.000+08:00,4.905
2019-04-20T21:35:14.000+08:00,4.895
2019-04-20T21:42:04.000+08:00,4.892
2019-04-20T22:09:50.000+08:00,4.902
2019-04-20T22:09:54.000+08:00,4.892
2019-04-20T22:21:33.000+08:00,4.885
2019-04-20T22:22:25.000+08:00,4.898
2019-04-20T22:23:42.000+08:00,4.888
2019-04-20T22:27:23.000+08:00,4.899
2019-04-20T22:28:31.000+08:00,4.889
2019-04-20T22:41:04.000+08:00,4.88
2019-04-20T22:41:37.000+08:00,4.891
2019-04-20T22:42:42.000+08:00,4.899
2019-04-20T22:42:53.000+08:00,4.903
2019-04-20T22:44:10.000+08:00,4.892
2019-04-20T22:46:47.000+08:00,4.889
2019-04-20T22:50:03.000+08:00,4.899
2019-04-20T22:50:22.000+08:00,4.902
2019-04-20T22:52:04.000+08:00,4.91
2019-04-20T22:52:28.000+08:00,4.913
2019-04-20T22:55:49.000+08:00,4.903
2019-04-20T22:57:11.000+08:00,4.899
2019-04-20T22:57:45.000+08:00,4.91
2019-04-20T22:59:02.000+08:00,4.915
2019-04-20T23:01:24.000+08:00,4.92
2019-04-20T23:06:53.000+08:00,4.909
2019-04-20T23:08:34.000+08:00,4.905
2019-04-20T23:10:11.000+08:00,4.899
2019-04-20T23:14:49.000+08:00,4.894
2019-04-20T23:15:56.000+08:00,4.904
2019-04-20T23:16:50.000+08:00,4.894
2019-04-20T23:18:02.000+08:00,4.905
2019-04-20T23:20:26.000+08:00,4.895
2019-04-20T23:23:24.000+08:00,4.905
2019-04-20T23:23:32.000+08:00,4.895
2019-04-20T23:28:52.000+08:00,4.889
2019-04-20T23:29:26.000+08:00,4.899
2019-04-21T00:01:05.000+08:00,4.889
2019-04-21T00:01:38.000+08:00,4.901
2019-04-21T00:06:00.000+08:00,4.89
2019-04-21T00:08:38.000+08:00,4.901
2019-04-21T00:09:32.000+08:00,4.891
2019-04-21T00:12:55.000+08:00,4.902
2019-04-21T00:13:18.000+08:00,4.891
2019-04-21T00:35:40.000+08:00,4.883
2019-04-21T00:35:50.000+08:00,4.895
2019-04-21T00:46:30.000+08:00,4.885
2019-04-21T00:46:52.000+08:00,4.895
2019-04-21T00:52:06.000+08:00,4.885
2019-04-21T00:58:01.000+08:00,4.895
2019-04-21T01:03:23.000+08:00,4.883
2019-04-21T01:03:47.000+08:00,4.895
2019-04-21T01:19:09.000+08:00,4.884
2019-04-21T01:20:21.000+08:00,4.894
2019-04-21T01:41:24.000+08:00,4.883
2019-04-21T01:41:52.000+08:00,4.895
2019-04-21T01:47:19.000+08:00,4.884
2019-04-21T01:48:39.000+08:00,4.896
2019-04-21T01:49:09.000+08:00,4.883
2019-04-21T01:50:04.000+08:00,4.895
2019-04-21T01:50:12.000+08:00,4.884
2019-04-21T01:52:26.000+08:00,4.895
2019-04-21T01:53:24.000+08:00,4.885
2019-04-21T01:54:13.000+08:00,4.895
2019-04-21T01:55:52.000+08:00,4.885
2019-04-21T01:56:29.000+08:00,4.895
2019-04-21T01:58:13.000+08:00,4.884
2019-04-21T01:58:53.000+08:00,4.895
2019-04-21T02:00:18.000+08:00,4.884
2019-04-21T02:02:44.000+08:00,4.894
2019-04-21T02:02:59.000+08:00,4.884
2019-04-21T02:03:20.000+08:00,4.895
2019-04-21T02:04:29.000+08:00,4.884
2019-04-21T02:07:14.000+08:00,4.895
2019-04-21T02:09:57.000+08:00,4.885
2019-04-21T02:11:24.000+08:00,4.896
2019-04-21T02:12:49.000+08:00,4.885
2019-04-21T02:19:54.000+08:00,4.896
2019-04-21T02:20:14.000+08:00,4.885
2019-04-21T02:23:55.000+08:00,4.881
2019-04-21T02:24:22.000+08:00,4.892
2019-04-21T02:27:35.000+08:00,4.881
2019-04-21T02:29:17.000+08:00,4.891
2019-04-21T02:30:10.000+08:00,4.879
2019-04-21T02:30:27.000+08:00,4.89
2019-04-21T02:31:54.000+08:00,4.879
2019-04-21T02:32:48.000+08:00,4.889
2019-04-21T02:44:01.000+08:00,4.879
2019-04-21T02:44:07.000+08:00,4.89
2019-04-21T02:50:59.000+08:00,4.88
2019-04-21T02:51:23.000+08:00,4.891
2019-04-21T02:51:26.000+08:00,4.881
2019-04-21T02:52:20.000+08:00,4.892
2019-04-21T02:56:35.000+08:00,4.882
2019-04-21T02:57:11.000+08:00,4.893
2019-04-21T03:00:06.000+08:00,4.882
2019-04-21T03:12:52.000+08:00,4.893
2019-04-21T03:12:58.000+08:00,4.883
2019-04-21T03:17:28.000+08:00,4.893
2019-04-21T03:17:50.000+08:00,4.896
2019-04-21T03:18:26.000+08:00,4.885
2019-04-21T03:18:37.000+08:00,4.883
2019-04-21T03:19:32.000+08:00,4.894
2019-04-21T03:19:35.000+08:00,4.896
2019-04-21T03:19:51.000+08:00,4.885
2019-04-21T03:21:46.000+08:00,4.884
2019-04-21T03:22:25.000+08:00,4.895
2019-04-21T03:23:23.000+08:00,4.885
2019-04-21T03:23:24.000+08:00,4.883
